OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
122,Eslöv,1285,425398696.775635,175928.570646181,,1285
123,Ystad,1286,375614334.331543,134327.650621432,,1286
124,Trelleborg,1287,364982258.643555,106070.504626166,,1287
125,Kristianstad,1290,1387365955.10986,247816.393197906,,1290
126,Simrishamn,1291,417271985.557861,133661.329985961,,1291
127,Ängelholm,1292,441749325.196533,127602.008255239,,1292
128,Hässleholm,1293,1312754547.15527,207856.518884485,,1293
129,Hylte,1315,1052081615.36255,223105.816374291,,1315
130,Halmstad,1380,1105709426.59375,197751.654533673,,1380
131,Laholm,1381,967856218.271729,150915.716113772,,1381
132,Falkenberg,1382,1217132698.57556,260464.046171517,,1382
133,Varberg,1383,1097204584.03003,189238.410819756,,1383
134,Kungsbacka,1384,935138124.585693,143906.542197216,,1384
135,Härryda,1401,292468997.437988,96504.3373575634,,1401
136,Partille,1402,59289703.114624,35714.2115998932,,1402
137,Öckerö,1407,123298922.82251,49151.4102096374,,1407
138,Stenungsund,1415,302677390.769287,85414.4333134547,,1415
139,Tjörn,1419,345268125.619629,96636.3850256572,,1419
140,Orust,1421,579981339.888184,122736.656376933,,1421
141,Sotenäs,1427,240739908.395874,68450.1890072112,,1427
142,Munkedal,1430,678668159.933228,176771.752040216,,1430
143,Tanum,1435,1206188869.04077,216414.901464914,,1435
144,Dals-Ed,1438,829853301.379517,173369.726803545,,1438
145,Färgelanda,1439,622475263.661865,140558.294467957,,1439
146,Ale,1440,333539215.725098,115157.871702268,,1440
147,Lerum,1441,309600269.846558,110200.057371243,,1441
148,Vårgårda,1442,443364500.045166,119046.726722677,,1442
149,Bollebygd,1443,283998586.283936,97551.8166949248,,1443
150,Grästorp,1444,282342996.216309,109243.055163602,,1444
151,Essunga,1445,236757410.907959,126892.611333205,,1445
152,Karlsborg,1446,574122501.130615,156066.452098775,,1446
153,Gullspång,1447,446468118.582275,129902.558667971,,1447
154,Tranemo,1452,781989346.340088,189514.563251848,,1452
155,Bengtsfors,1460,1063823329.60962,253453.931076996,,1460
156,Mellerud,1461,658007296.306152,137595.564819948,,1461
157,Lilla Edet,1462,343617738.875732,126202.438895549,,1462
158,Mark,1463,1018162937.08398,199216.746442794,,1463
159,Svenljunga,1465,991641073.059814,207919.397666444,,1465
160,Herrljunga,1466,511773432.775146,132954.790483319,,1466
161,Vara,1470,704118061.025635,170994.226616675,,1470
162,Götene,1471,458437897.068604,128757.177092965,,1471
163,Tibro,1472,235150089.762695,86953.1482630834,,1472
164,Töreboda,1473,594824962.924072,153238.459015987,,1473
165,Göteborg,1480,721893306.961548,161626.727910595,,1480
166,Mölndal,1481,153048586.733398,67820.6238559946,,1481
167,Kungälv,1482,539282634.942261,126519.085600096,,1482
168,Lysekil,1484,356330865.582886,101275.787554402,,1484
169,Uddevalla,1485,736155436.674438,163813.842552591,,1485
170,Strömstad,1486,660180415.732544,122140.465883597,,1486
171,Vänersborg,1487,903054169.339355,185572.550142564,,1487
172,Trollhättan,1488,429896895.042114,139383.14981574,,1488
173,Alingsås,1489,554471298.47998,160941.36364,,1489
174,Borås,1490,972061128.218018,196567.946673621,,1490
175,Ulricehamn,1491,1121539448.2356,189669.986666071,,1491
176,Åmål,1492,621777573.066162,131186.54646355,,1492
177,Mariestad,1493,970681310.071777,220508.410227751,,1493
178,Lidköping,1494,904735764.882324,211732.552056717,,1494
179,Skara,1495,450449818.467285,142381.081867168,,1495
180,Skövde,1496,687525121.867432,212482.383980508,,1496
181,Hjo,1497,410167917.247314,133090.16825302,,1497
182,Tidaholm,1498,525113181.02417,123969.962574648,,1498
183,Falköping,1499,1071633944.23608,281928.208250089,,1499
184,Kil,1715,409861505.493896,112438.951133368,,1715
185,Eda,1730,899813807.37854,170042.93756725,,1730
186,Torsby,1737,4380384812.80981,354138.253764878,,1737
187,Storfors,1760,474792121.548096,133298.47836292,,1760
188,Hammarö,1761,137569935.533203,50356.9700374006,,1761
189,Munkfors,1762,148696473.188721,65156.7696469349,,1762
190,Forshaga,1763,399231977.083008,126149.126375881,,1763
191,Grums,1764,481322017.308838,116390.535898619,,1764
192,Årjäng,1765,1661868016.9231,234059.912086267,,1765
193,Sunne,1766,1455597339.82788,197103.744181184,,1766
194,Karlstad,1780,1468719564.8584,247577.158403693,,1780
195,Kristinehamn,1781,991588495.717041,191235.352953219,,1781
196,Filipstad,1782,1720056001.13892,250859.620590626,,1782
197,Hagfors,1783,2010144552.23242,225679.00145605,,1783
198,Arvika,1784,1966266619.24609,255046.933106184,,1784
199,Säffle,1785,1601970140.32324,273070.29660225,,1785
200,Lekeberg,1814,484462151.006104,141754.223920727,,1814
201,Laxå,1860,740717191.88623,177017.322169173,,1860
202,Hallsberg,1861,673260474.872803,219155.644756288,,1861
203,Degerfors,1862,435747752.678223,117996.83193652,,1862
204,Hällefors,1863,1156216602.28345,198198.558421908,,1863
205,Ljusnarsberg,1864,634379842.135986,122446.791762696,,1864
206,Örebro,1880,1627880461.70142,274030.246288692,,1880
207,Kumla,1881,206277015.004639,100171.664097755,,1881
208,Askersund,1882,1024349949.77246,171692.158031857,,1882
209,Karlskoga,1883,512747734.971436,124256.844412707,,1883
210,Nora,1884,694106767.092041,156397.70750679,,1884
211,Lindesberg,1885,1488014905.88721,239318.876196665,,1885
212,Skinnskatteberg,1904,721340598.633545,133319.209722007,,1904
213,Surahammar,1907,371088353.569092,91015.1802452867,,1907
214,Kungsör,1960,227660487.622803,78786.3378285594,,1960
215,Hallstahammar,1961,181706301.566406,83680.8778318224,,1961
216,Norberg,1962,451146209.58252,129364.745498367,,1962
217,Västerås,1980,1141853379.73828,176123.725010528,,1980
218,Sala,1981,1210796457.94287,214288.003180164,,1981
219,Fagersta,1982,311892530.814453,89671.127916266,,1982
220,Köping,1983,648422405.391602,165645.198696804,,1983
221,Arboga,1984,421359119.241211,126766.050622693,,1984
222,Vansbro,2021,1665607163.43433,172039.122763687,,2021
223,Malung-Sälen,2023,4334800351.12036,371119.222667494,,2023
224,Gagnef,2026,813834459.67749,166426.672891721,,2026
225,Leksand,2029,1422736668.93579,348116.719025181,,2029
226,Rättvik,2031,2147645359.77271,269941.236552676,,2031
227,Orsa,2034,1806522833.10303,191760.123759618,,2034
228,Älvdalen,2039,7181825812.63452,476403.951538337,,2039
229,Smedjebacken,2061,1061635437.27783,169967.329303137,,2061
230,Mora,2062,3126902023.40576,382374.269766689,,2062
231,Falun,2080,2286147223.27271,360782.385091656,,2080
232,Borlänge,2081,638828958.88208,183966.709461272,,2081
233,Säter,2082,627478468.226563,193335.643595791,,2082
234,Hedemora,2083,933380369.933594,164769.725926166,,2083
235,Avesta,2084,672367605.442871,139142.420017374,,2084
236,Ludvika,2085,1656379207.40771,231512.394729644,,2085
237,Ockelbo,2101,1134770243.23657,146697.505528271,,2101
238,Hofors,2104,447956394.420654,95913.5156427996,,2104
239,Ovanåker,2121,2027303455.62573,220345.70862695,,2121
240,Nordanstig,2132,1777720471.40063,233678.811677772,,2132
241,Ljusdal,2161,5638797928.97339,498642.629724593,,2161
242,Gävle,2180,2097478242.84473,285053.037582738,,2180
243,Sandviken,2181,1303784084.11938,232585.275260179,,2181
244,Söderhamn,2182,1354481307.08838,193948.862931799,,2182
245,Bollnäs,2183,1985685723.3418,259597.141442206,,2183
246,Hudiksvall,2184,3133266285.5127,335828.319938248,,2184
247,Ånge,2260,3313220432.20435,273193.201854904,,2260
248,Timrå,2262,901501054.549072,175025.077712213,,2262
249,Härnösand,2280,1275036895.75513,168601.417300789,,2280
250,Sundsvall,2281,3751645567.79492,343943.223981348,,2281
251,Kramfors,2282,2141004361.71289,226102.561136321,,2282
252,Sollefteå,2283,5793682085.3457,491217.04640903,,2283
253,Örnsköldsvik,2284,7146278623.97803,424743.19004621,,2284
254,Ragunda,2303,2647581218.11865,316521.70335893,,2303
255,Bräcke,2305,3804131268.32178,306791.843938707,,2305
256,Krokom,2309,6850268582.51978,559159.402014117,,2309
257,Strömsund,2313,11847563626.0352,685074.140055738,,2313
